CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,EMPLOYER_CITY,EMPLOYER_STATE,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE
I-200-22319-589163,Certified,2022-11-22,Computer Programmers,Cinturi Technologies Llc.,Flower Mound,TX,Irving,TX,87922.0
I-200-23170-123004,Certified,2023-06-26,Software Developers,Rapid Eagle Inc.,Sunnyvale,CA,Sunnyvale,CA,115586.0
I-200-22117-114346,Certified,2022-05-04,Public Relations Specialists,Ninjja Global Inc,Winter Park,FL,Winter Park,FL,36026.0
I-200-22346-634520,Certified,2022-12-19,Computer Systems Engineers/Architects,Tata Consultancy Services Limited,Rockville,MD,Cary,NC,74443.0
I-200-22208-378321,Certified,2022-08-03,Computer Systems Analysts,"Spartannash Associates, Llc",Byron Center,MI,Edina,MN,102657.0
I-200-22259-476707,Certified,2022-09-23,Mechanical Engineers,"Hcl America, Inc.",Sunnyvale,CA,Horsham,PA,83741.0
I-200-19296-103138,Certified,2019-10-30,"Software Developers, Systems Software",Capgemini America Inc,Chicago,IL,Middletown,PA,94786.0
I-200-19079-577926,Certified,2019-03-27,Financial Managers,"Ricoh Usa, Inc.",Malvern,PA,Malvern,PA,160410.0
I-200-22026-854742,Certified,2022-02-02,"Software Developers, Applications","Seven Seas Technologies, Inc.",Chesterfield,MO,Des Moines,IA,84718.0
I-200-22133-172231,Certified,2022-05-20,"Software Developers, Applications",Roblox Corporation,San Mateo,CA,San Mateo,CA,121763.0
I-200-19014-364735,Certified,2019-01-18,"Software Developers, Applications","Lexisnexis Risk Solutions, Inc.",Alpharetta,GA,Alpharetta,GA,125320.0
I-200-20135-569934,Certified,2020-05-21,Information Technology Project Managers,Infosys  Limited,Richardson,TX,Phoenix,AZ,105602.0
I-200-22020-842915,Certified,2022-01-27,Software Quality Assurance Engineers And Testers,Caremark Llc,Woonsocket,RI,Irving,TX,114234.0
I-200-20184-692012,Certified,2020-07-10,"Medical Scientists, Except Epidemiologists",University Of Pittsburgh,Pittsburgh,PA,Pittsburgh,PA,43784.0
